default_flag,sy_snum,sy_pnum,discoverymethod,pl_orbper,pl_orbsmax,pl_msinie,pl_orbeccen,st_teff,st_rad,st_mass,st_logg,sy_dist
0,3,1,3,5846.1153925,13.2,242.81175000000002,0.2315,6526.5,1.335,1.75,4.31,29.7575
1,1,1,8,4.230785,0.0527,150.009,0.013000000000000001,5758.0,1.18,1.03,4.31,15.4614
0,1,1,8,4.23077,0.052000000000000005,148.738,0.0,5763.0,1.2166666666666666,1.0350000000000001,4.3133333333333335,15.4614
0,1,1,8,4.231,0.052000000000000005,143.0235,0.0,5768.0,1.2533333333333334,1.04,4.316666666666666,15.4614
0,1,1,8,4.2293,0.081,149.3801,0.0,5773.0,1.29,0.9450000000000001,4.32,15.4614
0,2,5,8,14.648,0.11,266.9772,0.051,5200.0,1.125,0.85,4.5,12.5855
0,2,5,8,14.65126,0.1138,260.61,0.0159,5250.0,0.96,0.9,4.42,12.5855
0,2,5,8,14.647,0.115,289.21,0.03,5250.0,0.96,0.9,4.42,12.5855
0,2,5,8,14.465314000000001,0.11339,269.19436,0.0023,5250.0,0.96,0.9,4.42,12.5855
0,2,5,8,14.67,0.115,249.17872000000003,0.0197,5250.0,0.96,0.95,4.42,12.5855
0,2,5,8,14.651620000000001,0.115,261.881,0.013999999999999999,5250.0,0.96,0.9,4.42,12.5855
0,2,5,8,14.652999999999999,0.115,266.9772,0.02,5250.0,0.96,0.95,4.42,12.5855
1,2,5,8,14.651520000000001,0.115227,262.7348,0.0034,5250.0,0.96,0.95,4.42,12.5855
0,2,5,8,14.6,0.113,258.4924,0.0,5250.0,0.96,0.925,4.42,12.5855
0,2,5,8,14.651,0.1134,254.25,0.004,5250.0,0.96,0.9,4.42,12.5855
1,2,5,8,44.4175,0.24137600000000003,186.98000000000002,0.02,5250.0,0.96,0.95,4.42,12.5855
0,2,5,8,44.373000000000005,0.23735,119.71000000000001,0.07200000000000001,5250.0,0.96,0.9,4.42,12.5855
0,2,5,8,44.38,0.237,52.44,0.07,5250.0,0.96,0.9,4.42,12.5855
